Libelle line,Station1,Station2,Temps
10,Michel-Ange - Molitor,Chardon Lagache,1
10,Chardon Lagache,Mirabeau,2
11,Châtelet,Hôtel de Ville,2
11,Hôtel de Ville,Rambuteau,1
11,Rambuteau,Arts et Métiers,2
11,Arts et Métiers,République,1
11,République,Goncourt,1
11,Goncourt,Belleville,1
11,Belleville,Pyrénées,2
11,Pyrénées,Jourdain,1
11,Jourdain,Place des Fetes,1
11,Place des Fetes,Télégraphe,1
11,Télégraphe,Porte des Lilas,1
12,Porte de la Chapelle,Marx Dormoy,1
12,Marx Dormoy,Marcadet - Poissonniers,2
12,Marcadet - Poissonniers,Jules Joffrin,1
12,Jules Joffrin,Lamarck - Caulaincourt,1
12,Lamarck - Caulaincourt,Abbesses,2
12,Abbesses,Pigalle,1
12,Pigalle,Saint-Georges,1
12,Saint-Georges,Notre-Dame-de-Lorette,1
12,Notre-Dame-de-Lorette,Trinité - d'Estienne d'Orves,1
12,Trinité - d'Estienne d'Orves,Saint-Lazare,2
12,Saint-Lazare,Madeleine,1
12,Madeleine,Concorde,2
12,Concorde,Assemblée Nationale,2
12,Assemblée Nationale,Solférino,1
12,Solférino,Rue du Bac,1
12,Rue du Bac,Sèvres - Babylone,1
12,Sèvres - Babylone,Rennes,1
12,Rennes,Notre-Dame des Champs,1
12,Notre-Dame des Champs,Montparnasse Bienvenue,1
12,Montparnasse Bienvenue,Falguière,2
12,Falguière,Pasteur,1
12,Pasteur,Volontaires,1
12,Volontaires,Vaugirard,1
12,Vaugirard,Convention,1
12,Convention,Porte de Versailles,2
13,Porte de Vanves,Plaisance,2
13,Plaisance,Pernety,1
13,Pernety,Gaîté,1
13,Gaîté,Montparnasse Bienvenue,1
13,Montparnasse Bienvenue,Duroc,2
13,Duroc,Saint-François-Xavier,1
13,Saint-François-Xavier,Varenne,1
13,Varenne,Invalides,4
13,Invalides,Champs-Elysées - Clemenceau,2
13,Champs-Elysées - Clemenceau,Miromesnil,2
13,Miromesnil,Saint-Lazare,2
13,Saint-Lazare,Liège,1
13,Liège,Place de Clichy,2
13,Place de Clichy,La Fourche,1
13,La Fourche,Guy Môquet,2
13,Guy Môquet,Porte de Saint-Ouen,1
13,Porte de Saint-Ouen,La Fourche,3
13,La Fourche,Brochant,2
13,Brochant,Porte de Clichy,1
14,Porte de Clichy,Pont Cardinet,2
14,Pont Cardinet,Saint-Lazare,3
14,Saint-Lazare,Madeleine,1
14,Madeleine,Pyramides,2
14,Pyramides,Châtelet,2
14,Châtelet,Gare de Lyon,3
14,Gare de Lyon,Bercy,2
14,Bercy,Cour Saint-Emilion,1
14,Cour Saint-Emilion,Bibliothèque François Mitterrand,2
14,Bibliothèque François Mitterrand,Olympiades,1
14,Olympiades,Maison Blanche,1
